name,salary_from,salary_to,salary_currency,area_name,published_at
Программист 1C,50000,100000,RUR,Енисейск,2022-12-20T05:50:33+0300
Токарь,30000,,RUR,Троицкое (Алтайский край),2022-12-20T05:17:23+0300
Инженер по ремонту и обслуживанию оборудования,60000,,RUR,Краснообск,2022-12-20T05:07:05+0300
Фрезеровщик,120000,,RUR,Нижний Новгород,2022-12-20T05:46:16+0300
Аналитик проектов,50000,50000,RUR,Иркутск,2022-12-20T05:11:22+0300
Фрезеровщик,120000,,RUR,Казань,2022-12-20T05:48:27+0300
Фрезеровщик,120000,,RUR,Ярославль,2022-12-20T05:48:27+0300
Фрезеровщик,45000,,RUR,Барнаул,2022-12-20T04:57:28+0300
Рабочий по комплексному обслуживанию зданий,,22000,RUR,Новосибирск,2022-12-20T04:47:33+0300
Стропальщик в цех по производству сэндвич-панелей,25000,30000,RUR,Артемовский (Свердловская область),2022-12-20T05:52:42+0300
Ведущий разработчик C++/Qt (Senior),,,,Томск,2022-12-20T05:12:21+0300
Специалист группы внедрения информационных систем,,,,Красноярск,2022-12-20T05:41:35+0300
Специалист по техническому обслуживанию оборудования,60000,,RUR,Ирбит,2022-12-20T05:23:52+0300
Инженер-программист (программист FPGA),,,,Екатеринбург,2022-12-20T05:34:18+0300
Инженер-механик,,,,Новосибирск,2022-12-20T05:11:40+0300
Программист 1C,50000,100000,RUR,Минусинск,2022-12-20T05:51:53+0300
Шлифовщик,46000,,RUR,Екатеринбург,2022-12-20T05:38:18+0300
Программист 1C,50000,100000,RUR,Заозерный,2022-12-20T05:50:13+0300
Шлифовщик,125000,,RUR,Красноярск,2022-12-20T05:53:32+0300
Инженер - установщик ГЛОНАСС,,,,Красноярск,2022-12-20T05:23:36+0300
Оператор экструдерной установки,,,,Екатеринбург,2022-12-20T05:32:39+0300
Токарь-расточник,70000,,RUR,Барнаул,2022-12-20T04:57:28+0300
Главный дизайнер (интерьер),,,,Барнаул,2022-12-20T05:13:51+0300
Оператор ЧПУ листогиб,40000,,RUR,Арамиль,2022-12-20T05:04:54+0300
Сервисный инженер,55000,,RUR,Екатеринбург,2022-12-20T05:45:24+0300
Middle - разработчик C#,,,,Новосибирск,2022-12-20T04:51:15+0300
Сервисный инженер (спецтехника),,,,Иркутск,2022-12-20T04:42:49+0300
IT-специалист (Специалист отдела внедрения),45000,,RUR,Екатеринбург,2022-12-20T05:54:25+0300
Программист 1С,100000,,RUR,Новосибирск,2022-12-20T05:36:21+0300
Токарь,55000,65000,RUR,Екатеринбург,2022-12-20T05:05:44+0300
Ведущий технический дизайнер,,70000,RUR,Екатеринбург,2022-12-20T05:44:45+0300
Сервисный инженер,40000,80000,RUR,Екатеринбург,2022-12-20T05:25:11+0300
Ведущий инженер технической поддержки (Cloud МТС),,,,Новосибирск,2022-12-20T05:15:11+0300
Программист 1C,50000,100000,RUR,Иланский,2022-12-20T05:49:52+0300
Инженер по аналитической работе,40000,,RUR,Кемерово,2022-12-20T04:11:56+0300
Инженер эксплуатации транспортных сетей,55000,,RUR,Магадан,2022-12-20T05:30:18+0300
Программист-тестировщик (Middle),,,,Томск,2022-12-20T05:12:40+0300
Аналитик (АСУТП),,,,Красноярск,2022-12-20T05:21:06+0300
Токарь,34000,34000,RUR,Камень-на-Оби,2022-12-20T05:17:27+0300
Специалист по монтажу и гарантии оборудования,,,,Екатеринбург,2022-12-20T05:35:52+0300
Механик дробильно-сортировочного участка (ДСУ),60000,,RUR,Асбест,2022-12-20T05:28:35+0300
Программист 1C,50000,100000,RUR,Зеленогорск (Красноярский край),2022-12-20T05:52:11+0300
Ведущий инженер-конструктор (разработчик FPGA),,,,Екатеринбург,2022-12-20T05:33:28+0300
Программист 1C,50000,100000,RUR,Ужур,2022-12-20T05:49:30+0300
Механик,56000,,RUR,Кемерово,2022-12-20T04:11:56+0300
Программист 1C,50000,100000,RUR,Железногорск (Красноярский край),2022-12-20T05:54:44+0300
Фрезеровщик,32000,60000,RUR,Кемерово,2022-12-20T05:36:06+0300
Системный администратор,,,,Москва,2022-12-20T05:04:49+0300
Техник/монтажник слаботочных систем безопасности,35000,,RUR,Челябинск,2022-12-20T05:25:21+0300
Механик,50000,,RUR,Екатеринбург,2022-12-20T05:45:34+0300
Программист 1C,50000,100000,RUR,Дивногорск,2022-12-20T05:54:10+0300
Шлифовщик,125000,,RUR,Нижний Новгород,2022-12-20T05:50:38+0300
Механик,,,,Богданович,2022-12-20T04:46:30+0300
Главный инженер/Руководитель проекта (Системы безопасности) ОПС\СКУД,50000,100000,RUR,Челябинск,2022-12-20T05:25:31+0300
Разработчик C# (Middle),,,,Томск,2022-12-20T05:12:33+0300
Инженер ПНР,,,,Томск,2022-12-20T05:11:45+0300
Инженер по ремонту и обслуживанию оборудования,60000,,RUR,Новосибирск,2022-12-20T05:07:05+0300
Программист 1C,50000,100000,RUR,Лесосибирск,2022-12-20T05:53:50+0300
Сервисный инженер,40000,80000,RUR,Челябинск,2022-12-20T05:24:41+0300
Инсталлятор / Специалист по подключению абонентов / Монтажник интернет-сетей,54000,,RUR,Лесосибирск,2022-12-20T04:51:05+0300
Теплотехник,54000,,RUR,Находка,2022-12-20T05:45:57+0300
"Инженер ОПС (слаботочка, Системы безопасности)",35000,70000,RUR,Челябинск,2022-12-20T05:25:26+0300
Программист 1C,50000,100000,RUR,Ачинск,2022-12-20T05:53:09+0300
"Мастер строительных и монтажных работ (ОПС, СКУД, ИТСО)",,,,Томск,2022-12-20T05:11:36+0300
Программист 1С,,120000,RUR,Владивосток,2022-12-20T05:16:59+0300
Программист 1C,50000,100000,RUR,Шушенское,2022-12-20T05:48:55+0300
Главный специалист безопасности Web-приложений,,,,Москва,2022-12-20T04:49:19+0300
Ведущий программист-тестировщик (Senior),,,,Томск,2022-12-20T05:12:37+0300
Специалист IT отдела,290000,,KZT,Усть-Каменогорск,2022-12-20T06:51:56+0300
Администратор Битрикс 24/Руководитель проекта внедрения и сопровождения Битрикс 24,100000,,RUR,Санкт-Петербург,2022-12-20T07:18:06+0300
Инженер-программист АСУ ТП,,,,Астана,2022-12-20T07:41:41+0300
Project менеджер/Менеджер проекта (медицинское управление),,,,Москва,2022-12-20T07:24:11+0300
RoR developer,,,,Ростов-на-Дону,2022-12-20T07:41:03+0300
Инженер-электронщик,,,,Барнаул,2022-12-20T06:53:51+0300
Web-дизайнер,65000,,RUR,Санкт-Петербург,2022-12-20T07:53:12+0300
Frontend developer,,,,Минск,2022-12-20T07:54:40+0300
Техник-механик,200000,235000,KZT,Алматы,2022-12-20T07:07:00+0300
Механик,250000,300000,KZT,Алматы,2022-12-20T06:45:33+0300
Junior DevOps-инженер (СберСпасибо),,,,Новосибирск,2022-12-20T07:14:00+0300
"Менеджер проекта ""Новый формат магазина""",40000,80000,RUR,Кемерово,2022-12-20T06:54:35+0300
Оператор станков с ЧПУ,60000,,RUR,Новосибирск,2022-12-20T06:54:40+0300
Рабочий в механосборочный цех,50300,,RUR,Саратов,2022-12-20T07:46:49+0300
Инженер-программист 1 С,50000,,RUR,Альметьевск,2022-12-20T07:54:04+0300
Оператор станка с ЧПУ,60000,70000,RUR,Санкт-Петербург,2022-12-20T07:35:00+0300
Программист С++/Qt,,97825,RUR,Челябинск,2022-12-20T07:55:13+0300
Инженер-механик,350000,400000,KZT,Караганда,2022-12-20T07:31:23+0300
Оператор станка с ЧПУ,72000,,RUR,Хабаровск,2022-12-20T07:00:06+0300
Аналитик/департамент методологии и анализа,,,,Алматы,2022-12-20T07:32:44+0300
Продакт менеджер (автокредитование),,,,Астана,2022-12-20T07:33:24+0300
Программист 1С,1000,,USD,Бишкек,2022-12-20T07:51:03+0300
Инженер-программист,45000,90000,RUR,Альметьевск,2022-12-20T07:56:13+0300
Системный администратор,43400,,RUR,Магнитогорск,2022-12-20T07:34:32+0300
Руководитель проекта,,,,Хабаровск,2022-12-20T06:21:15+0300
Консультант 1C,40000,40000,RUR,Красноярск,2022-12-20T06:58:44+0300
Начинающий специалист по обслуживанию POS-терминального оборудования,40000,,RUR,Ставрополь,2022-12-20T07:12:40+0300
Токарь,55000,60000,RUR,Санкт-Петербург,2022-12-20T06:41:40+0300
Ведущий специалист по информационной безопасности,,,,Екатеринбург,2022-12-20T07:46:16+0300
Системный администратор,55000,,RUR,Красноярск,2022-12-20T07:56:40+0300
Электромеханик,,,,Хабаровск,2022-12-20T07:01:54+0300
Токарь-универсал,70000,,RUR,Екатеринбург,2022-12-20T07:46:08+0300
Оператор станка с ЧПУ,32000,,RUR,Верхнеуральск,2022-12-20T06:27:12+0300
Ассистент маркетолога,150000,,KZT,Алматы,2022-12-20T07:06:13+0300
Java developer,,,,Томск,2022-12-20T07:15:11+0300
Администратор баз данных PostgreSQL,,,,Москва,2022-12-20T06:42:56+0300
Оператор/наладчик фрезерных и токарных станков с ЧПУ,80000,120000,RUR,Санкт-Петербург,2022-12-20T07:58:07+0300
Менеджер проектов,50000,,RUR,Красноярск,2022-12-20T06:07:31+0300
Зуборезчик,126000,130000,RUR,Ижевск,2022-12-20T07:40:18+0300
Специалист по информационной безопасности,46000,,RUR,Каменск-Уральский,2022-12-20T07:36:23+0300
Токарь,32,40000,RUR,Верхнеуральск,2022-12-20T06:27:45+0300
Программист 1С,40000,70000,RUR,Копейск,2022-12-20T06:57:59+0300
Консультант 1С,60000,,RUR,Пермь,2022-12-20T07:42:40+0300
Слесарь по ремонту оборудования,45000,55000,RUR,Самара,2022-12-20T07:08:50+0300
Начальник гаража,45000,,RUR,Екатеринбург,2022-12-20T07:02:48+0300
Механик (объект Бованенково),150000,180000,RUR,Уфа,2022-12-20T07:29:08+0300
Программист 1С,,,,Еманжелинск,2022-12-20T06:57:55+0300
Торговый представитель СТМ,50000,90000,RUR,Новосибирск,2022-12-20T07:59:17+0300
Инженер по гарантии,50000,,RUR,Тюмень,2022-12-20T07:15:20+0300
Инженер –аналитик качества,,,,Барнаул,2022-12-20T06:00:02+0300
Механик,50000,70000,RUR,Южно-Сахалинск,2022-12-20T07:07:42+0300
Junior full-stack web developer (Bitrix/Bitrix24),75000,100000,RUR,Красноярск,2022-12-20T06:18:35+0300
DevOps инженер,100000,150000,RUR,Тюмень,2022-12-20T07:57:59+0300
Сервис- Инженер,,,,Костанай,2022-12-20T07:26:30+0300
Full-stack web developer (Bitrix/Bitrix24),75000,100000,RUR,Иркутск,2022-12-20T06:18:35+0300
Системный администратор,45000,50000,RUR,Красноярск,2022-12-20T06:59:22+0300
"Печатник на широкоформатный принтер, УФ принтер",1500000,4000000,UZS,Ташкент,2022-12-20T07:11:11+0300
Ведущий специалист по информационной безопасности,80000,,RUR,Кемерово,2022-12-20T07:36:49+0300
Аналитик бизнес-процессов,28500,35000,RUR,Новосибирск,2022-12-20T06:56:37+0300
Зуборезчик,126000,130000,RUR,Воткинск,2022-12-20T07:40:23+0300
Junior full-stack web developer (Bitrix/Bitrix24),50000,100000,RUR,Чебоксары,2022-12-20T06:18:35+0300
Программист 1С,,,,Саратов,2022-12-20T07:57:40+0300
Специалист по обслуживанию (объекты операторов сотовой связи),30000,60000,RUR,Абакан,2022-12-20T06:10:59+0300
Токарь-расточник,30000,,RUR,Миасс,2022-12-20T07:38:02+0300
Главный механик,60000,70000,RUR,Иркутск,2022-12-20T07:58:12+0300
Механик-наладчик,45000,,RUR,Саратов,2022-12-20T07:46:14+0300
Механик кондитерского оборудования,40000,,RUR,Красноярск,2022-12-20T07:29:33+0300
Программист PL/SQL,,,,Екатеринбург,2022-12-20T07:15:17+0300
Оператор в call-центр,20000,,KGS,Бишкек,2022-12-20T07:56:10+0300
Зуборезчик,126000,130000,RUR,Сарапул,2022-12-20T07:40:27+0300
Инженер-механик,38000,,RUR,Каменск-Уральский,2022-12-20T07:36:23+0300
Бизнес-аналитик,60000,,RUR,Екатеринбург,2022-12-20T07:45:52+0300
Главный механик,60000,60000,RUR,Чита,2022-12-20T06:44:19+0300
Слесарь КИПиА,47000,,RUR,Пермь,2022-12-20T07:31:54+0300
PHP Веб-программист,,,,Алматы,2022-12-20T07:15:30+0300
Программист 1С,,,,Южноуральск,2022-12-20T06:57:48+0300
Инженер КИПиА,60000,,RUR,Новосибирск,2022-12-20T07:50:36+0300
Инженер-программист отдела информационных технологий в образовании,40000,,RUR,Киров (Кировская область),2022-12-20T07:55:32+0300
Токарь,32,40000,RUR,Магнитогорск,2022-12-20T06:27:42+0300
Ведущий аналитик,,45750,RUR,Екатеринбург,2022-12-20T07:15:22+0300
Программист 1С,150000,150000,RUR,Хабаровск,2022-12-20T06:10:04+0300
Специалист по информационной безопасности,,,,Новосибирск,2022-12-20T06:02:31+0300
Аналитик-консультант по автоматизации медицинских клиник,30000,60000,RUR,Челябинск,2022-12-20T07:41:36+0300
Старший электромеханик средств радио и телевидения в с. Павлово Каргасокского района,32955,,RUR,Павлово,2022-12-20T06:35:28+0300
Механик автоколонны,54000,,RUR,Альметьевск,2022-12-20T07:27:41+0300
Руководитель методологии,,,,Москва,2022-12-20T07:52:58+0300
Наладчик станков с ЧПУ,46500,,RUR,Миасс,2022-12-20T07:59:29+0300
Монтажник РЭА и приборов,35000,,RUR,Новосибирск,2022-12-20T07:52:13+0300
Middle+ / Senior Angular-разработчик,,,,Санкт-Петербург,2022-12-20T07:41:08+0300
Senior Android Developer (remote),,,,Санкт-Петербург,2022-12-20T07:36:23+0300
Специалист отдела планирования продаж (аналитик по планированию продаж),,,,Алматы,2022-12-20T07:21:21+0300
Инженер - программист 1С,60000,80000,RUR,Омск,2022-12-20T07:40:26+0300
Инженер-механик по планированию (горно-транспортная техника),120000,,RUR,Красноярск,2022-12-20T06:25:39+0300
Инженер-программист (Middle+),85000,,RUR,Томск,2022-12-20T07:48:05+0300
Техник,28000,,RUR,Каменск-Уральский,2022-12-20T07:36:25+0300
Механик,,45000,RUR,Новоуральск,2022-12-20T07:46:35+0300
Специалист по информационной безопасности АСУТП,,,,Новосибирск,2022-12-20T06:02:27+0300
Team Lead Java (система лояльности СберСпасибо),,,,Новосибирск,2022-12-20T07:08:46+0300
Full-stack web developer (Bitrix/Bitrix24),70000,120000,RUR,Чебоксары,2022-12-20T06:18:35+0300
Инженер по гарантии,250000,250000,KZT,Астана,2022-12-20T07:27:43+0300
Руководитель продаж и маркетинга,400000,800000,KZT,Алматы,2022-12-20T07:10:24+0300
Программист 1С,,,,Пермь,2022-12-20T07:31:15+0300
Программист 1С,,,,Челябинск,2022-12-20T06:57:43+0300
Менеджер проекта,,,,Новокузнецк,2022-12-20T07:29:39+0300
Инженер средств радио и телевидения в г. Стрежевой,38235,,RUR,Стрежевой,2022-12-20T06:35:25+0300
Специалист по монтажу крупной бытовой техники,55000,75000,RUR,Хабаровск,2022-12-20T06:26:27+0300
Наладчик КИПиА,35000,50000,RUR,Челябинск,2022-12-20T07:36:23+0300
Руководитель группы разработки 1C,230000,345000,RUR,Самара,2022-12-20T07:59:21+0300
Full-stack web developer (Bitrix/Bitrix24),75000,120000,RUR,Красноярск,2022-12-20T06:18:35+0300
OeBS Developer,,,,Алматы,2022-12-20T06:36:02+0300
Оператор-наладчик станков с ЧПУ,60000,,RUR,Ижевск,2022-12-20T07:58:11+0300
DevOps Engineer,,,,Санкт-Петербург,2022-12-20T07:41:15+0300
"Ruby on Rails-разработчик / Ruby on Rails developer (middle/senior, remote)",,,,Москва,2022-12-20T07:40:58+0300
"Ruby on Rails-разработчик / Ruby on Rails developer (middle/senior, remote)",,,,Санкт-Петербург,2022-12-20T07:40:50+0300
Team Lead React Native,,,,Томск,2022-12-20T06:51:30+0300
Художник-иллюстратор,,,,Алматы,2022-12-20T09:08:46+0300
Оператор станков с ЧПУ,40000,,RUR,Челябинск,2022-12-20T09:08:15+0300
Стажер разработчик Prime Source,100000,200000,KZT,Алматы,2022-12-20T08:05:52+0300
QA Specialist,,,,Ташкент,2022-12-20T08:50:46+0300
Журналист,300000,500000,KZT,Алматы,2022-12-20T08:23:57+0300
Руководитель отдела IT инфраструктуры,300000,500000,RUR,Москва,2022-12-20T09:40:20+0300
Оператор станка с ЧПУ,45000,,RUR,Нижний Новгород,2022-12-20T08:16:54+0300
Frontend (react.js) разработчик,,,,Ташкент,2022-12-20T08:49:07+0300
Дежурный мониторинга,,150000,RUR,Москва,2022-12-20T08:55:12+0300
Младший графический дизайнер,15300,15300,RUR,Астрахань,2022-12-20T08:46:31+0300
Аналитик отдела продаж,200000,,KZT,Алматы,2022-12-20T09:49:35+0300
"Программист python, sql",,138000,RUR,Волгоград,2022-12-20T09:08:22+0300
Графический дизайнер,45000,,RUR,Томск,2022-12-20T09:05:15+0300
Тестировщик ПО,49500,76000,RUR,Самара,2022-12-20T08:43:23+0300
Графический дизайнер,100000,200000,KZT,Петропавловск,2022-12-20T09:06:53+0300
Менеджер по продукту (индустриальные части),,,,Санкт-Петербург,2022-12-20T09:45:56+0300
.NET Developer,80000,160000,RUR,Томск,2022-12-20T09:15:00+0300
Java developer,,,,Алматы,2022-12-20T09:06:25+0300
Руководитель проекта,,,,Балхаш,2022-12-20T08:56:32+0300
Эксперт фрод-мониторинга (в банк),200000,300000,RUR,Москва,2022-12-20T09:59:21+0300
Специалист технической поддержки,55000,,RUR,Москва,2022-12-20T09:18:34+0300
Токарь,55000,,RUR,Челябинск,2022-12-20T09:08:06+0300
BackEnd-разработчик,60000,100000,RUR,Пенза,2022-12-20T09:07:23+0300
Начинающий аналитик,,,,Москва,2022-12-20T09:30:24+0300
Java разработчик (Strong junior),300,500,USD,Бишкек,2022-12-20T09:38:10+0300
Руководитель проекта (строительство ЦОД),1000000,,KZT,Алматы,2022-12-20T08:26:36+0300
Графический дизайнер,,,,Москва,2022-12-20T09:34:51+0300
Ученик оператора станков с ЧПУ,35000,50000,RUR,Металлострой,2022-12-20T08:06:40+0300
Руководитель ИТ проекта,,,,Москва,2022-12-20T09:52:33+0300
Мерчендайзер – дизайнер,28000,,RUR,Нижний Тагил,2022-12-20T08:12:39+0300
Программист / разработчик 1С 8.3 Управление Торговлей 11.5 (Удаленно),150000,250000,RUR,Москва,2022-12-20T08:53:04+0300
Backend php разработчик,400000,1000000,KZT,Алматы,2022-12-20T08:10:42+0300
Токарь-универсал,170000,,RUR,Кемерово,2022-12-20T09:56:40+0300
Руководитель проекта/Менеджер по продажам,70000,200000,RUR,Санкт-Петербург,2022-12-20T09:59:55+0300
Бизнес-аналитик / системный аналитик,50000,,RUR,Челябинск,2022-12-20T09:04:04+0300
Системный администратор,50000,,RUR,Орск,2022-12-20T09:38:45+0300
Тестировщик ПО,50000,,RUR,Томск,2022-12-20T09:15:24+0300
Дежурный сетевой инженер (глобальная сеть),75000,,RUR,Краснодар,2022-12-20T08:58:08+0300
Менеджер отдела технической поддержки,300000,400000,KZT,Алматы,2022-12-20T08:54:45+0300
Оператор автоматических и полуавтоматических линий станков и установок,60000,,RUR,Калининград,2022-12-20T09:58:31+0300
Инженер (системный администратор),40000,,RUR,Пермь,2022-12-20T08:43:22+0300
Системный аналитик,,,,Москва,2022-12-20T09:53:38+0300
Frontend-разработчик,,,,Новосибирск,2022-12-20T09:07:26+0300
Программный разработчик,252000,272000,KZT,Алматы,2022-12-20T09:54:39+0300
Плавильщик металла и сплавов,70000,,RUR,Набережные Челны,2022-12-20T08:26:50+0300
Менеджер проекта (строительство),,150000,RUR,Москва,2022-12-20T09:34:30+0300
Инженер-электроник/инженер-наладчик,75000,,RUR,Казань,2022-12-20T09:45:18+0300
Главный эксперт Аппарата Правления (нормоконтроль и корректура),,,,Москва,2022-12-20T09:03:36+0300
Технический директор,,,,Елабуга,2022-12-20T08:39:03+0300
Разработчик Golang,,,,Краснодар,2022-12-20T09:50:46+0300
Программист 1С,150000,,RUR,Барнаул,2022-12-20T08:42:08+0300
Руководитель проекта IT по цифровизации на производство,250000,300000,RUR,Москва,2022-12-20T09:59:07+0300
Оператор станков с ЧПУ,45000,,RUR,Челябинск,2022-12-20T08:18:15+0300
Верстальщик-дизайнер,,,,Дзержинск (Нижегородская область),2022-12-20T08:10:14+0300
Manual QA-инженер в команду Navi,,,,Казань,2022-12-20T08:48:48+0300
Manual QA-инженер в команду Navi,,,,Санкт-Петербург,2022-12-20T08:48:48+0300
Заместитель начальника СМУ по механизации,200000,300000,RUR,Уфа,2022-12-20T08:12:52+0300
Трейдер,200000,250000,KZT,Астана,2022-12-20T08:27:36+0300
Менеджер по продажам приборов КИП,100000,,RUR,Новосибирск,2022-12-20T08:41:47+0300
Электромонтёр-линейщик по ВЛ и КС 4-5 разряда,120000,139500,RUR,Тюмень,2022-12-20T08:53:25+0300
Заместитель начальника по строительству (прораб),,90000,RUR,Нижний Новгород,2022-12-20T09:33:23+0300
Программист 1C,,,,Москва,2022-12-20T09:07:19+0300
Оператор станков с ЧПУ,45000,,RUR,Самара,2022-12-20T08:57:00+0300
Программист 1C,80000,100000,RUR,Уфа,2022-12-20T09:37:06+0300
Наладчик станков с ЧПУ,70000,,RUR,Челябинск,2022-12-20T09:07:59+0300
